condition,gender,n_seeds,n_utts,duration_hours,mean_wer,sd_wer,min_wer,max_wer,mean_cer,sd_cer,min_cer,max_cer
unpruned,male,1,1806,2.8968,0.1659002687369364,0.0,0.1659002687369364,0.1659002687369364,0.09638035650549036,0.0,0.09638035650549036,0.09638035650549036
unpruned,female,1,491,0.8054,0.14024260480953393,0.0,0.14024260480953393,0.14024260480953393,0.0793249572522489,0.0,0.0793249572522489,0.0793249572522489
unpruned,other,1,11,0.0158,0.09482758620689655,0.0,0.09482758620689655,0.09482758620689655,0.036585365853658534,0.0,0.036585365853658534,0.036585365853658534
unpruned,missing,1,14082,23.3028,0.1504729020783879,0.0,0.1504729020783879,0.1504729020783879,0.08541537778200796,0.0,0.08541537778200796,0.08541537778200796
unpruned,ALL,1,16390,27.0207,0.15177981698441098,0.0,0.15177981698441098,0.15177981698441098,0.08638050959644437,0.0,0.08638050959644437,0.08638050959644437
pruned_2L,male,1,1806,2.8968,0.17414153478650343,0.0,0.17414153478650343,0.17414153478650343,0.10085242184383464,0.0,0.10085242184383464,0.10085242184383464
pruned_2L,female,1,491,0.8054,0.15982123856139605,0.0,0.15982123856139605,0.15982123856139605,0.09155453126161624,0.0,0.09155453126161624,0.09155453126161624
pruned_2L,other,1,11,0.0158,0.10344827586206896,0.0,0.10344827586206896,0.10344827586206896,0.0350609756097561,0.0,0.0350609756097561,0.0350609756097561
pruned_2L,missing,1,14082,23.3028,0.16620405854907241,0.0,0.16620405854907241,0.16620405854907241,0.09619177546175119,0.0,0.09619177546175119,0.09619177546175119
pruned_2L,ALL,1,16390,27.0207,0.16681736275433973,0.0,0.16681736275433973,0.16681736275433973,0.096509205216972,0.0,0.096509205216972,0.096509205216972
